ds,yhat,yhat_lower,yhat_upper
24/02/2022,6.591,6.232,6.95
25/02/2022,6.898,6.592,7.204
28/02/2022,7.523,6.866,8.18
01/03/2022,8.355,8.16,8.55
02/03/2022,8.918,8.272,9.564
03/03/2022,9.669,8.958,10.38
04/03/2022,9.305,8.91,9.7
07/03/2022,9.377,9.016,9.738
08/03/2022,9.311,9.002,9.62
09/03/2022,9.17,8.95,9.39
10/03/2022,9.26,9.1,9.42
11/03/2022,9.518,9.24,9.796
14/03/2022,9.559,9.32,9.798
15/03/2022,9.347,9.104,9.59
16/03/2022,9.5,9.3,9.7
17/03/2022,9.622,9.364,9.88
18/03/2022,9.792,9.636,9.948
21/03/2022,9.858,9.72,9.996
22/03/2022,9.697,9.534,9.86
23/03/2022,9.825,9.7,9.95
24/03/2022,9.828,9.66,9.996
25/03/2022,9.596,9.262,9.93
28/03/2022,9.396,9.122,9.67
29/03/2022,9.224,9.036,9.412
30/03/2022,9.209,9.07,9.348
31/03/2022,9.245,9.1,9.39
01/04/2022,9.318,9.16,9.476
04/04/2022,9.091,8.832,9.35
05/04/2022,9.1,9,9.2
06/04/2022,9.044,8.89,9.198
07/04/2022,8.806,8.562,9.05
08/04/2022,8.829,8.66,8.998
11/04/2022,9.143,8.882,9.404
12/04/2022,9.44,9.3,9.58
13/04/2022,9.431,9.278,9.584
14/04/2022,9.357,9.284,9.43
19/04/2022,9.358,9.248,9.468
20/04/2022,9.469,9.258,9.68
21/04/2022,9.15,8.95,9.35
22/04/2022,9.053,8.882,9.224
25/04/2022,9.29,8.902,9.678
26/04/2022,9.462,9.324,9.6
27/04/2022,9.417,9.256,9.578
28/04/2022,9.755,9.562,9.948
29/04/2022,9.919,9.768,10.07
02/05/2022,9.558,9.3,9.816
04/05/2022,9.655,9.46,9.85
05/05/2022,9.604,9.318,9.89
06/05/2022,9.24,8.98,9.5
09/05/2022,9.333,9.222,9.444
10/05/2022,9.126,8.902,9.35
11/05/2022,8.978,8.822,9.134
12/05/2022,8.75,8.602,8.898
13/05/2022,9.148,8.814,9.482
16/05/2022,9.57,9.4,9.74
17/05/2022,9.524,9.35,9.698
18/05/2022,9.653,9.31,9.996
19/05/2022,9.675,9.53,9.82
20/05/2022,9.774,9.604,9.944
23/05/2022,10.015,9.63,10.4
24/05/2022,10.2275,10.07,10.385
25/05/2022,10.235,9.81,10.66
26/05/2022,10.075,9.81,10.34
27/05/2022,10.17,10,10.34
30/05/2022,10.145,9.91,10.38
31/05/2022,10.176,9.982,10.37
01/06/2022,10.045,9.81,10.28
02/06/2022,10.0625,9.95,10.175
03/06/2022,10.4425,10.095,10.79
06/06/2022,10.4825,10.33,10.635
07/06/2022,10.3275,10.21,10.445
08/06/2022,10.2575,10.115,10.4
09/06/2022,10.245,10.105,10.385
10/06/2022,10.26,10.02,10.5
13/06/2022,10.245,10.045,10.445
14/06/2022,10.2125,10.075,10.35
15/06/2022,10.4,10.2,10.6
17/06/2022,10.72,10.34,11.1
20/06/2022,10.8975,10.68,11.115
21/06/2022,10.935,10.825,11.045
22/06/2022,10.7475,10.555,10.94
23/06/2022,10.725,10.56,10.89
24/06/2022,10.845,10.695,10.995
27/06/2022,10.9,10.75,11.05
28/06/2022,10.895,10.71,11.08
29/06/2022,10.7,10.6,10.8
30/06/2022,10.6725,10.565,10.78
01/07/2022,10.86,10.65,11.07
04/07/2022,10.78,10.5,11.06
05/07/2022,10.5075,10.365,10.65
06/07/2022,10.113,9.706,10.52
07/07/2022,10.0475,9.79,10.305
08/07/2022,10.305,10.13,10.48
11/07/2022,9.8235,9.462,10.185
12/07/2022,9.798,9.596,10
13/07/2022,9.8395,9.654,10.025
14/07/2022,10.0095,9.864,10.155
15/07/2022,9.952,9.824,10.08
18/07/2022,10.082,9.884,10.28
19/07/2022,10.5275,10.265,10.79
20/07/2022,10.425,10.25,10.6
21/07/2022,10.4225,10.265,10.58
22/07/2022,10.455,10.31,10.6
25/07/2022,10.445,10.295,10.595
26/07/2022,10.4075,10.27,10.545
27/07/2022,10.365,10.17,10.56
28/07/2022,10.2075,10.03,10.385
29/07/2022,10.225,10.105,10.345
01/08/2022,10.2325,10.125,10.34
02/08/2022,10.0615,9.828,10.295
03/08/2022,9.85,9.6,10.1
04/08/2022,9.75,9.5,10
05/08/2022,9.645,9.51,9.78
08/08/2022,9.64,9.424,9.856
09/08/2022,9.793,9.698,9.888
10/08/2022,9.669,9.55,9.788
11/08/2022,9.639,9.56,9.718
12/08/2022,9.636,9.542,9.73
16/08/2022,9.747,9.546,9.948
17/08/2022,9.54,9.35,9.73
18/08/2022,9.491,9.378,9.604
19/08/2022,9.157,8.964,9.35
22/08/2022,8.835,8.62,9.05
23/08/2022,8.771,8.62,8.922
24/08/2022,8.481,8.242,8.72
25/08/2022,8.315,8.154,8.476
26/08/2022,7.876,7.562,8.19
29/08/2022,7.388,7.222,7.554
30/08/2022,7.399,7.196,7.602
31/08/2022,7.2,7.08,7.32
01/09/2022,7.086,6.94,7.232
02/09/2022,7.195,7.004,7.386
05/09/2022,7.13,7,7.26
06/09/2022,6.945,6.71,7.18
07/09/2022,6.89,6.55,7.23
08/09/2022,7.344,7.158,7.53
09/09/2022,7.437,7.204,7.67
12/09/2022,7.425,7.17,7.68
13/09/2022,7.095,6.87,7.32
14/09/2022,6.879,6.768,6.99
15/09/2022,6.9,6.75,7.05
16/09/2022,6.815,6.64,6.99
19/09/2022,6.878,6.7,7.056
20/09/2022,6.99,6.83,7.15
21/09/2022,6.941,6.842,7.04
22/09/2022,6.968,6.78,7.156
23/09/2022,6.976,6.822,7.13
26/09/2022,6.529,6.3,6.758
27/09/2022,6.591,6.452,6.73
28/09/2022,6.406,6.238,6.574
29/09/2022,6.305,6.12,6.49
30/09/2022,6.31,6.2,6.42
03/10/2022,6.208,6.006,6.41
04/10/2022,6.543,6.412,6.674
05/10/2022,6.43,6.34,6.52
06/10/2022,6.391,6.23,6.552
07/10/2022,6.203,6.08,6.326
10/10/2022,5.984,5.82,6.148
11/10/2022,5.83,5.7,5.96
12/10/2022,5.774,5.62,5.928
13/10/2022,5.54,5.33,5.75
14/10/2022,5.47,5.3,5.64
17/10/2022,5.554,5.36,5.748
18/10/2022,5.405,5.16,5.65
19/10/2022,5.0625,4.921,5.204
20/10/2022,4.918,4.79,5.046
21/10/2022,4.807,4.664,4.95
24/10/2022,4.771,4.672,4.87
25/10/2022,5.024,4.8,5.248
26/10/2022,5.168,5.038,5.298
27/10/2022,5.131,5.022,5.24
28/10/2022,5.215,5.09,5.34
31/10/2022,5.513,5.35,5.676
02/11/2022,5.7,5.55,5.85
03/11/2022,5.784,5.63,5.938
04/11/2022,5.986,5.772,6.2
07/11/2022,6.105,5.67,6.54
08/11/2022,5.795,5.586,6.004
09/11/2022,5.92,5.82,6.02
10/11/2022,6.021,5.782,6.26
