ds,y
2021-02-24,6.476
2021-02-25,6.567
2021-02-26,6.489
2021-03-01,6.683
2021-03-02,6.796
2021-03-03,6.723
2021-03-04,6.68
2021-03-05,6.68
2021-03-08,6.681
2021-03-09,6.81
2021-03-10,6.897
2021-03-11,6.839
2021-03-12,6.732
2021-03-15,6.765
2021-03-16,6.661
2021-03-17,6.47
2021-03-18,6.45
2021-03-19,6.32
2021-03-22,6.508
2021-03-23,6.534
2021-03-24,6.398
2021-03-25,6.43
2021-03-26,6.651
2021-03-29,6.806
2021-03-30,6.878
2021-03-31,6.853
2021-04-01,6.887
2021-04-06,7.102
2021-04-07,7.301
2021-04-08,7.258
2021-04-09,7.275
2021-04-12,7.883
2021-04-13,8.334
2021-04-14,8.454
2021-04-15,8.402
2021-04-16,8.437
2021-04-19,8.617
2021-04-20,8.575
2021-04-21,8.38
2021-04-22,8.496
2021-04-23,8.496
2021-04-26,8.544
2021-04-27,8.648
2021-04-28,9.182
2021-04-29,9.86
2021-04-30,10.1085
2021-05-04,10.205
2021-05-05,10.225
2021-05-06,10.16
2021-05-07,9.973
2021-05-10,9.717
2021-05-11,9.587
2021-05-12,9.737
2021-05-13,9.545
2021-05-14,9.57
2021-05-17,9.637
2021-05-18,9.744
2021-05-19,9.8955
2021-05-20,9.9465
2021-05-21,9.501
2021-05-24,9.146
2021-05-25,9.63
2021-05-26,9.935
2021-05-27,10.06
2021-05-28,10.12
2021-05-31,10.0125
2021-06-01,10.0525
2021-06-02,10.147
2021-06-04,10.4825
2021-06-07,10.815
2021-06-08,10.6525
2021-06-09,10.46
2021-06-10,10.24
2021-06-11,10.24
2021-06-14,10.2075
2021-06-15,10.15
2021-06-16,10.085
2021-06-17,10.11
2021-06-18,10.195
2021-06-21,10.145
2021-06-22,10.2425
2021-06-23,10.2125
2021-06-24,10.2675
2021-06-25,10.1575
2021-06-28,10.005
2021-06-29,9.8325
2021-06-30,9.57
2021-07-01,9.344
2021-07-02,9.268
2021-07-05,9.159
2021-07-06,9.038
2021-07-07,9.018
2021-07-08,9.027
2021-07-09,9.016
2021-07-12,9.008
2021-07-13,8.952
2021-07-14,8.905
2021-07-15,8.924
2021-07-16,8.866
2021-07-19,8.602
2021-07-20,8.393
2021-07-21,8.51
2021-07-22,8.575
2021-07-23,8.842
2021-07-26,8.869
2021-07-27,8.63
2021-07-28,8.637
2021-07-29,8.854
2021-07-30,8.795
2021-08-02,8.78
2021-08-03,8.838
2021-08-04,8.869
2021-08-05,8.982
2021-08-06,9.125
2021-08-09,9.07
2021-08-10,9.004
2021-08-11,8.914
2021-08-12,8.999
2021-08-13,9.015
2021-08-16,8.949
2021-08-17,8.905
2021-08-18,8.939
2021-08-19,8.935
2021-08-20,9.106
2021-08-23,9.536
2021-08-24,9.749
2021-08-25,9.644
2021-08-26,9.662
2021-08-27,9.552
2021-08-30,9.745
2021-08-31,10.035
2021-09-01,10.0185
2021-09-02,9.845
2021-09-03,9.695
2021-09-06,9.725
2021-09-07,9.749
2021-09-08,9.769
2021-09-09,9.75
2021-09-10,9.775
2021-09-13,9.9115
2021-09-14,10.145
2021-09-15,10.108
2021-09-16,10.0325
2021-09-17,9.91
2021-09-20,9.44
2021-09-21,9.239
2021-09-22,9.278
2021-09-23,9.281
2021-09-24,9.115
2021-09-27,8.91
2021-09-28,8.864
2021-09-29,8.845
2021-09-30,8.974
2021-10-01,8.937
2021-10-04,9.199
2021-10-05,9.313
2021-10-06,9.325
2021-10-07,9.345
2021-10-08,9.63
2021-10-11,9.935
2021-10-12,9.895
2021-10-13,10.0125
2021-10-14,10.035
2021-10-15,10.28
2021-10-18,10.4325
2021-10-19,10.27
2021-10-20,10.1425
2021-10-21,10.1175
2021-10-22,9.999
2021-10-25,9.9725
2021-10-26,9.96
2021-10-27,9.885
2021-10-28,9.9435
2021-10-29,9.863
2021-11-02,9.839
2021-11-03,9.9125
2021-11-04,10.12
2021-11-05,10.23
2021-11-08,10.2875
2021-11-09,10.1275
2021-11-10,9.9985
2021-11-12,9.756
2021-11-15,9.554
2021-11-16,9.324
2021-11-17,9.41
2021-11-18,9.372
2021-11-19,9.23
2021-11-22,9.151
2021-11-23,8.917
2021-11-24,9.029
2021-11-25,8.671
2021-11-26,7.968
2021-11-29,7.943
2021-11-30,8.074
2021-12-01,8.5
2021-12-02,8.447
2021-12-03,8.401
2021-12-06,8.238
2021-12-07,8.337
2021-12-08,8.228
2021-12-09,7.964
2021-12-10,8.019
2021-12-13,8.006
2021-12-14,7.822
2021-12-15,7.651
2021-12-16,7.68
2021-12-17,7.764
2021-12-20,7.811
2021-12-21,7.875
2021-12-22,7.725
2021-12-23,7.835
2021-12-27,7.833
2021-12-28,7.786
2021-12-29,8.032
2021-12-30,8.042
2022-01-03,8.205
2022-01-04,8.169
2022-01-05,8.136
2022-01-07,7.989
2022-01-10,8.005
2022-01-11,7.986
2022-01-12,8.254
2022-01-13,8.373
2022-01-14,8.309
2022-01-17,8.36
2022-01-18,8.221
2022-01-19,7.615
2022-01-20,7.872
2022-01-21,7.908
2022-01-24,7.778
2022-01-25,7.668
2022-01-26,7.781
2022-01-27,7.648
2022-01-28,7.666
2022-01-31,7.678
2022-02-01,7.616
2022-02-02,7.514
2022-02-03,7.783
2022-02-04,7.752
2022-02-07,7.635
2022-02-08,7.81
2022-02-09,7.981
2022-02-10,8.119
2022-02-11,7.935
2022-02-14,7.734
2022-02-15,7.916
2022-02-16,7.989
2022-02-17,7.802
2022-02-18,7.598
2022-02-21,7.363
2022-02-22,7.204
2022-02-23,7.368
